1801,,EA1B,C0,01,,,,,,SUBB,#$01,ADJUST OUT MODE 0 (WHY NOT DECB)
2378,,EE2F,26,F7,,,,,,BNE,LEE28,LOOP UNTIL ALL ACTIONS CHECKED
2379,,EE31,7E,B2,77,,,,,JMP,LB277,'SYNTAX' ERROR IF ILLEGAL ACTION DESIRED
2380,,EE34,DF,D5,,,,,LEE34,STU,VD5,SAVE THE ACTION ADDRESS
2381,,EE36,9D,9F,,,,,,JSR,GETNCH,GET A CHARACTER FROM BASIC'S INPUT LINE
2382,,EE38,BD,E0,CB,,,,LEE38,JSR,LE0CB,PUT THE HBUFF BLOCK INTO LOGICAL ADDRESS SPACE OF TASK REGISTER 1
2383,,EE3B,BD,E1,19,,,,,JSR,SELTASK1,SELECT TASK REGISTER 1
2384,,EE3E,D6,D3,,,,,,LDB,VD3,GET THE BUFFER NUMBER
2385,,EE40,BD,EF,18,,,,,JSR,LEF18,GET THE START AND END OF THIS BUFFER'S DATA
2386,,EE43,DC,BD,,,,,,LDD,HORBEG,GET THE STARING HORIZONTAL COORDINATE
2387,,EE45,10,93,C3,,,,,CMPD,HOREND,COMPARE IT TO THE ENDING COORDINATE
2388,,EE48,2F,06,,,,,,BLE,LEE50,BRANCH IF START <= END COORDINATE
2389,,EE4A,9E,C3,,,,,,LDX,HOREND,GET THE ENDING COORDINATE
2390,,EE4C,9F,BD,,,,,,STX,HORBEG,SAVE IT AS THE STARTING COORDINATE
2391,,EE4E,DD,C3,,,,,,STD,HOREND,NOW SAVE THE STARTING COORDINATE AS THE ENDING COORDINATE
2392,,EE50,DC,BF,,,,,LEE50,LDD,VERBEG,GET THE VERTICAL STARTING COORDINATE
2393,,EE52,10,93,C5,,,,,CMPD,VEREND,COMPARE IT TO THE ENDING COORDINATE
2394,,EE55,2F,06,,,,,,BLE,LEE5D,BRANCH IF START <= END COORDINATE
2395,,EE57,9E,C5,,,,,,LDX,VEREND,GET THE ENDING COORDINATE
2396,,EE59,9F,BF,,,,,,STX,VERBEG,SAVE IT AS THE STARTING COORDINATE
2397,,EE5B,DD,C5,,,,,,STD,VEREND,NOW SAVE THE STARTING COORDINATE AS THE ENDING COORDINATE
2398,,,,,,,,,* ROUND OFF THE HORIZONTAL START AND END COORDINATES TO AN EVEN NUMBER OF BYTES,,,
2399,,EE5D,96,E6,,,,,LEE5D,LDA,HRMODE,GET THE HI-RES GRAPHICS MODE
2400,,EE5F,C6,F8,,,,,,LDB,#$F8,ROUND OFF MASK FOR HSCREEN 3 (EIGHT PIXELS PER BYTE)
